Front,Back
I travel tomorrow.,Ich reise morgen.
I visit a friend.,Ich besuche einen Freund.
I stay at home.,Ich bleibe zu Hause.
I prepare that.,Ich bereite das vor.
I pack my bag.,Ich packe meine Tasche.
I want to travel tomorrow.,Ich will morgen reisen.
I have to prepare that.,Ich muss das vorbereiten.
I can visit a friend.,Ich kann einen Freund besuchen.
I want to stay at home.,Ich will zu Hause bleiben.
I can pack my bag.,Ich kann meine Tasche packen.
I travel …,Ich reise …
I visit …,Ich besuche …
I stay …,Ich bleibe …
I prepare …,Ich bereite … vor
I pack …,Ich packe …
