Front,Back
I think that’s good.,Ich finde das gut.
I’m waiting here.,Ich warte hier.
I live here.,Ich lebe hier.
I live in Berlin.,Ich wohne in Berlin.
My name is …,Ich heiße …
I want to live here.,Ich will hier wohnen.
I have to wait here.,Ich muss hier warten.
I can live here.,Ich kann hier leben.
I want to like that.,Ich will das gut finden.
I can introduce myself.,Ich kann mich vorstellen.
I find …,Ich finde …
I wait …,Ich warte …
I live …,Ich lebe …
I live (reside) …,Ich wohne …
My name is …,Ich heiße …
