Front,Back
I search for that.,Ich suche das.
I find that.,Ich finde das.
I choose that.,Ich wähle das.
I try that.,Ich probiere das.
I decide that.,Ich entscheide das.
I want to search for that.,Ich will das suchen.
I have to choose that.,Ich muss das wählen.
I can try that.,Ich kann das probieren.
I want to find that.,Ich will das finden.
I can decide that.,Ich kann das entscheiden.
I search …,Ich suche …
I find …,Ich finde …
I choose …,Ich wähle …
I try …,Ich probiere …
I decide …,Ich entscheide …
