Front,Back
I understand that.,Ich verstehe das.
I don’t understand that.,Ich verstehe das nicht.
I explain that.,Ich erkläre das.
I learn quickly.,Ich lerne schnell.
I remember that.,Ich erinnere mich daran.
I want to understand that.,Ich will das verstehen.
I have to explain that.,Ich muss das erklären.
I can learn that.,Ich kann das lernen.
I want to remember that.,Ich will mich daran erinnern.
I can understand that.,Ich kann das verstehen.
I understand …,Ich verstehe …
I explain …,Ich erkläre …
I learn …,Ich lerne …
I remember …,Ich erinnere mich …
I don’t understand …,Ich verstehe … nicht
