Front,Back
I think so.,Ich denke so.
I mean that.,Ich meine das.
I believe you.,Ich glaube dir.
I hope so.,Ich hoffe das.
I feel good.,Ich fühle mich gut.
I want to believe that.,Ich will das glauben.
I can hope for that.,Ich kann das hoffen.
I have to know that.,Ich muss das wissen.
I want to feel better.,Ich will mich besser fühlen.
I can think like that.,Ich kann so denken.
I think …,Ich denke …
I mean …,Ich meine …
I believe …,Ich glaube …
I hope …,Ich hoffe …
I feel …,Ich fühle mich …
