Front,Back
I’m meeting you.,Ich treffe dich.
I’m visiting you.,Ich besuche dich.
I’m calling you.,Ich rufe dich an.
I’m writing to you.,Ich schreibe dir.
I’m helping you.,Ich helfe dir.
I want to meet you.,Ich will dich treffen.
I have to visit you.,Ich muss dich besuchen.
I can call you.,Ich kann dich anrufen.
I want to write to you.,Ich will dir schreiben.
I can help you.,Ich kann dir helfen.
I meet …,Ich treffe …
I visit …,Ich besuche …
I call …,Ich rufe … an
I write …,Ich schreibe …
I help …,Ich helfe …
