Front,Back
I’m starting now.,Ich beginne jetzt.
I’m finishing that.,Ich beende das.
I’m repeating that.,Ich wiederhole das.
I remember that.,Ich erinnere mich daran.
I forget that.,Ich vergesse das.
I want to start now.,Ich will jetzt beginnen.
I have to finish that.,Ich muss das beenden.
I can repeat that.,Ich kann das wiederholen.
I want to remember that.,Ich will mich daran erinnern.
I must not forget that.,Ich darf das nicht vergessen.
I start …,Ich beginne …
I finish …,Ich beende …
I repeat …,Ich wiederhole …
I remember …,Ich erinnere mich …
I forget …,Ich vergesse …
