Front,Back
I think so.,Ich denke so.
I know that.,Ich weiß das.
I think that’s good.,Ich finde das gut.
I’ll let you know.,Ich gebe dir Bescheid.
I’m taking that.,Ich nehme das.
I want to take that.,Ich will das nehmen.
I can let you know.,Ich kann dir Bescheid geben.
I have to know that.,Ich muss das wissen.
I want to find that.,Ich will das finden.
I can think like that.,Ich kann so denken.
I think …,Ich denke …
I know …,Ich weiß …
I find …,Ich finde …
I give …,Ich gebe …
I take …,Ich nehme …
