Front,Back
I’m coming tomorrow.,Ich komme morgen.
I’m staying here.,Ich bleibe hier.
I’m working today.,Ich arbeite heute.
I’m learning German.,Ich lerne Deutsch.
I’m saying nothing.,Ich sage nichts.
I want to come tomorrow.,Ich will morgen kommen.
I have to stay here.,Ich muss hier bleiben.
I have to work today.,Ich muss heute arbeiten.
I want to learn German.,Ich will Deutsch lernen.
I don’t want to say anything.,Ich will nichts sagen.
I come …,Ich komme …
I stay …,Ich bleibe …
I work …,Ich arbeite …
I learn …,Ich lerne …
I say …,Ich sage …
