Front,Back
I’m working today.,Ich arbeite heute.
I’m learning German.,Ich lerne Deutsch.
I practice every day.,Ich übe jeden Tag.
I’ll try it.,Ich versuche es.
I need time.,Ich brauche Zeit.
I want to work today.,Ich will heute arbeiten.
I have to learn German.,Ich muss Deutsch lernen.
I can practice every day.,Ich kann jeden Tag üben.
I want to try it.,Ich will es versuchen.
I need more time.,Ich brauche mehr Zeit.
I work …,Ich arbeite …
I learn …,Ich lerne …
I practice …,Ich übe …
I try …,Ich versuche …
I need …,Ich brauche …
