Front,Back
I look tired.,Ich sehe müde aus.
That seems good.,Das scheint gut zu sein.
That fits well.,Das passt gut.
That belongs to me.,Das gehört mir.
I need that.,Ich brauche das.
I want to look good.,Ich will gut aussehen.
That must fit.,Das muss passen.
That can belong to me.,Das kann mir gehören.
I want to need that.,Ich will das brauchen.
That can be good.,Das kann gut sein.
I look …,Ich sehe … aus.
That seems …,Das scheint … zu sein.
That fits …,Das passt …
That belongs to …,Das gehört …
I need …,Ich brauche …
