Front,Back
I can do that.,Ich kann das machen.
I have to work today.,Ich muss heute arbeiten.
I want to learn German.,Ich will Deutsch lernen.
I should go now.,Ich soll jetzt gehen.
I’m allowed to stay here.,Ich darf hier bleiben.
I can work today.,Ich kann heute arbeiten.
I have to go now.,Ich muss jetzt gehen.
I want to do that.,Ich will das machen.
I should do that.,Ich soll das machen.
I’m allowed to do that.,Ich darf das machen.
I can …,Ich kann …
I have to …,Ich muss …
I want to …,Ich will …
I should …,Ich soll …
I’m allowed to …,Ich darf …
