Front,Back
I like that.,Ich mag das.
I love that.,Ich liebe das.
I hate that.,Ich hasse das.
I enjoy that.,Ich genieße das.
I prefer that.,Ich bevorzuge das.
I want to like that.,Ich will das mögen.
I can enjoy that.,Ich kann das genießen.
I don’t have to hate that.,Ich muss das nicht hassen.
I want to prefer that.,Ich will das bevorzugen.
I can love that.,Ich kann das lieben.
I like …,Ich mag …
I love …,Ich liebe …
I hate …,Ich hasse …
I enjoy …,Ich genieße …
I prefer …,Ich bevorzuge …
