Front,Back
I’m staying here.,Ich bleibe hier.
I’m going home.,Ich fahre nach Hause.
I can bring that.,Ich kann das mitbringen.
I’ll get it later.,Ich hole das später.
I’ll leave that.,Ich lasse das.
I want to stay here.,Ich will hier bleiben.
I have to go home.,Ich muss nach Hause fahren.
I can bring that with me.,Ich kann das mitbringen.
I’ll pick it up later.,Ich hole das später ab.
I’ll leave that for now.,Ich lasse das jetzt.
I stay …,Ich bleibe …
I go (by transport) …,Ich fahre …
I bring …,Ich bringe …
I get / fetch …,Ich hole …
I let / leave …,Ich lasse …
