Front,Back
I’m eating now.,Ich esse jetzt.
I’m drinking coffee.,Ich trinke Kaffee.
I sleep well.,Ich schlafe gut.
I’m buying that.,Ich kaufe das.
I’m paying for that.,Ich bezahle das.
I want to eat now.,Ich will jetzt essen.
I have to pay for that.,Ich muss das bezahlen.
I can drink coffee.,Ich kann Kaffee trinken.
I want to sleep well.,Ich will gut schlafen.
I can buy that.,Ich kann das kaufen.
I eat …,Ich esse …
I drink …,Ich trinke …
I sleep …,Ich schlafe …
I buy …,Ich kaufe …
I pay …,Ich bezahle …
